sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.329,0.351,0.022,0.022,6.68
2,0.4109999999999999,1.0258,0.6148,0.6148,149.6
3,0.948,1.4503,0.5023,0.5023,52.99
4,1.084,0.8476,-0.2364,0.2364,21.81
5,1.11,1.6032,0.4932,0.4932,44.43
6,1.13,1.5197,0.3897,0.3897,34.49
7,1.21,1.6692,0.4592,0.4592,37.95
8,1.265,1.1096,-0.1554,0.1554,12.29
9,1.3060920218489591,1.6708,0.3647,0.3647,27.93
10,1.31,1.5118,0.2018,0.2018,15.4
11,1.34,1.4892,0.1492,0.1492,11.14
12,1.3748337072094308,2.1511,0.7763,0.7763,56.46
13,1.41,1.8483,0.4383,0.4383,31.08
14,1.41,1.9416,0.5316,0.5316,37.7
15,1.4471933760099271,3.2559,1.8087,1.8087,124.98
16,1.48,1.7737,0.2937,0.2937,19.84
17,1.48,1.6179,0.1379,0.1379,9.32
18,1.5,1.2528,-0.2472,0.2472,16.48
19,1.518,1.1014,-0.4166,0.4166,27.44
20,1.5233614484315023,2.5427,1.0194,1.0194,66.92
21,1.55,1.6675,0.1175,0.1175,7.58
22,1.56,1.5343,-0.0257,0.0257,1.65
23,1.6,1.5132,-0.0868,0.0868,5.43
24,1.6035383667700025,1.7351,0.1316,0.1316,8.21
25,1.62,1.6154,-0.0046,0.0046,0.28
26,1.64,1.2472,-0.3928,0.3928,23.95
27,1.6879351229157922,2.3958,0.7079,0.7079,41.94
28,1.7,1.6776,-0.0224,0.0224,1.32
29,1.74,1.6194,-0.1206,0.1206,6.93
30,1.74,1.5429,-0.1971,0.1971,11.33
31,1.7767738135955706,2.6639,0.8871,0.8871,49.93
32,1.81,1.5592,-0.2508,0.2508,13.85
33,1.8702882248374428,2.205,0.3347,0.3347,17.89
34,1.88,1.5315,-0.3485,0.3485,18.54
35,1.88,1.7195,-0.1605,0.1605,8.54
36,1.88,1.6541,-0.2259,0.2259,12.01
37,1.897,0.9509,-0.9461,0.9461,49.87
38,1.92,1.6736,-0.2464,0.2464,12.83
39,1.94,1.9007,-0.0393,0.0393,2.03
40,1.9687244471973084,2.3534,0.3846,0.3846,19.54
41,2.04,1.6812,-0.3588,0.3588,17.59
42,2.072341523365588,2.0413,-0.031,0.031,1.5
43,2.1814121298585136,2.2159,0.0345,0.0345,1.58
44,2.2962232945879086,2.1536,-0.1426,0.1426,6.21
45,2.417077152197799,2.7122,0.2951,0.2951,12.21
46,2.49,1.7209,-0.7691,0.7691,30.89
47,2.5442917391555784,2.0056,-0.5387,0.5387,21.17
48,2.6782018306900826,3.2058,0.5276,0.5276,19.7
49,2.819159821779034,3.2002,0.3811,0.3811,13.52
50,2.9675366545042463,3.1991,0.2315,0.2315,7.8
51,3.123722794214996,3.6845,0.5608,0.5608,17.95
52,3.288129257068417,3.2687,-0.0194,0.0194,0.59
53,3.461188691650965,2.9742,-0.487,0.487,14.07
54,3.643356517527332,2.8208,-0.8226,0.8226,22.58
55,3.835112123712981,5.1854,1.3503,1.3503,35.21
56,4.03696013022419,5.6726,1.6356,1.6356,40.52
57,4.249431716025463,5.9748,1.7254,1.7254,40.6
58,4.473086016868908,5.4112,0.9381,0.9381,20.97
59,4.708511596704113,4.2306,-0.478,0.478,10.15
60,4.956327996530646,4.0615,-0.8948,0.8948,18.05
61,5.217187364769101,5.5066,0.2894,0.2894,5.55
62,5.491776173441159,6.6952,1.2035,1.2035,21.91
63,5.780817024674905,5.8457,0.0649,0.0649,1.12
64,6.085070552289372,6.7839,0.6988,0.6988,11.48
65,6.405337423462497,5.8083,-0.5971,0.5971,9.32
66,6.742460445749998,5.2258,-1.5167,1.5167,22.49
67,7.097326784999998,5.5807,-1.5166,1.5166,21.37
68,7.470870299999999,5.6187,-1.8522,1.8522,24.79
69,7.864073999999997,4.9536,-2.9105,2.9105,37.01
70,8.277972631578946,8.0533,-0.2247,0.2247,2.71
71,8.737859999999996,5.0194,-3.7185,3.7185,42.56
72,9.25185176470588,7.2157,-2.0361,2.0361,22.01
73,9.830092499999997,4.5062,-5.3239,5.3239,54.16
74,10.485431999999998,8.1398,-2.3456,2.3456,22.37
