sample_rank,actual_ppm,cv_predicted_ppm,error_ppm,abs_error_ppm,pct_error
1,0.8359999999999999,1.53,0.694,0.694,83.01
2,0.975,1.2459,0.2709,0.2709,27.79
3,1.138,1.1354,-0.0026,0.0026,0.23
4,1.327,1.3294,0.0024,0.0024,0.18
5,1.5061619025821746,1.3333,-0.1728,0.1728,11.48
6,1.548,1.2975,-0.2505,0.2505,16.18
7,1.585433581665447,1.679,0.0935,0.0935,5.9
8,1.6688774543846812,2.0702,0.4013,0.4013,24.05
9,1.7567131098786115,2.8211,1.0644,1.0644,60.59
10,1.806,2.0523,0.2463,0.2463,13.64
11,1.8491716946090648,1.3899,-0.4593,0.4593,24.84
12,1.9464965206411209,2.3545,0.408,0.408,20.96
13,2.048943705938022,1.7565,-0.2924,0.2924,14.27
14,2.107,2.1509,0.0439,0.0439,2.08
15,2.156782848355813,1.8389,-0.3179,0.3179,14.74
16,2.2702977351113818,2.6513,0.381,0.381,16.78
17,2.389787089590928,2.7738,0.384,0.384,16.07
18,2.515565357464135,2.0269,-0.4887,0.4887,19.43
19,2.6479635341727734,1.6421,-1.0059,1.0059,37.99
20,2.7873300359713404,3.3211,0.5337,0.5337,19.15
21,2.868,3.3649,0.4969,0.4969,17.33
22,2.9340316168119367,3.4404,0.5064,0.5064,17.26
23,3.0884543334862498,3.1743,0.0858,0.0858,2.78
24,3.2510045615644736,3.4377,0.1867,0.1867,5.74
25,3.346,3.7528,0.4068,0.4068,12.16
26,3.4221100648047087,4.8212,1.399,1.399,40.88
27,3.6022211208470623,5.0177,1.4155,1.4155,39.29
28,3.791811706154802,5.1618,1.37,1.37,36.13
29,3.991380743320845,3.1393,-0.852,0.852,21.35
30,4.201453414021942,4.8188,0.6174,0.6174,14.69
31,4.4225825410757285,5.4045,0.982,0.982,22.2
32,4.655350043237609,5.6464,0.991,0.991,21.29
33,4.900368466565904,5.4946,0.5942,0.5942,12.13
34,5.1582825963851615,4.4159,-0.7423,0.7423,14.39
35,5.429771154089645,5.1359,-0.2939,0.2939,5.41
36,5.715548583252257,5.2004,-0.5152,0.5152,9.01
37,6.016366929739219,6.8626,0.8463,0.8463,14.07
38,6.3330178207781245,5.1929,-1.1401,1.1401,18.0
39,6.6663345481875,6.8777,0.2114,0.2114,3.17
40,7.017194261249999,6.6219,-0.3953,0.3953,5.63
41,7.386520274999999,5.7031,-1.6834,1.6834,22.79
42,7.775284499999999,5.9495,-1.8258,1.8258,23.48
43,8.184509999999998,6.4789,-1.7056,1.7056,20.84
44,8.615273684210527,6.3599,-2.2554,2.2554,26.18
45,9.0939,6.5222,-2.5717,2.5717,28.28
46,9.628835294117648,5.3626,-4.2663,4.2663,44.31
