project,filename,sample_number,concentration_mg_L,integration_time_ms,excitation_nm,target_pigment,area_per_ms,band_1_energy,band_1_energy_per_ms,band_2_energy,band_2_energy_per_ms,band_3_energy,band_3_energy_per_ms,band_4_energy,band_4_energy_per_ms,band_ratio_2_1,band_ratio_3_1,band_ratio_4_1,centroid,elapsed_minutes,kurtosis,max_intensity,max_per_ms,mean_intensity,peak_1_fwhm,peak_1_intensity,peak_1_intensity_per_ms,peak_1_pos,peak_2_fwhm,peak_2_intensity,peak_2_intensity_per_ms,peak_2_pos,peak_3_fwhm,peak_3_intensity,peak_3_intensity_per_ms,peak_3_pos,peak_4_fwhm,peak_4_intensity,peak_4_intensity_per_ms,peak_4_pos,peak_5_fwhm,peak_5_intensity,peak_5_intensity_per_ms,peak_5_pos,peak_count,peak_ratio_1_2,skewness,snr,std_intensity,total_area
blue-211,rec_20260211_150231.npz,11,6.085,1000,450,chl_a,18284.33163100237,2883035.9170940234,2883.0359170940233,2689061.5925407982,2689.0615925407983,8808247.755089374,8808.247755089375,3903986.3662781743,3903.9863662781745,0.9327187277122988,3.0551987586639955,1.3541233888661455,2051.5338881889284,23.283333333333335,0.5498064017120905,15119.4032634033,15.1194032634033,5012.152311130036,830.0,14110.707536907568,14.110707536907569,2550,786.0,14515.767987568022,14.515767987568022,2612,764.0,15119.4032634033,15.1194032634033,2664,822.0,14297.342968142999,14.297342968142999,2716,869.0,13328.255788655817,13.328255788655817,2770,5,1.0415847977421697,1.3508519701439279,11.506686908487994,3808.809202267249,18284331.63100237
blue-211,rec_20260211_150403.npz,12,5.781,1000,450,chl_a,14090.216474592107,2062708.6228438271,2062.708622843827,2061530.6668220717,2061.5306668220715,7344047.989743606,7344.047989743606,2621929.1951826015,2621.9291951826012,0.9994289275718781,3.5603904053198128,1.2711098243084789,2052.191059355885,24.816666666666666,0.14808648299318516,10994.385392385417,10.994385392385416,3862.449691500029,894.0,10204.086868686893,10.204086868686893,2350,850.0,10694.791452991478,10.694791452991478,2402,841.0,10994.385392385417,10.994385392385416,2478,842.0,10961.338772338797,10.961338772338797,2534,853.0,10595.247241647266,10.595247241647266,2590,5,1.0030148342946952,1.2681996742122927,11.888525362814633,3019.01631012153,14090216.474592106
blue-211,rec_20260211_150609.npz,13,5.492,1000,450,chl_a,12497.226043414947,1382298.1188616967,1382.2981188616966,1550790.0079254115,1550.7900079254114,7716932.206837624,7716.932206837624,1847205.709790214,1847.2057097902139,1.1218925836363471,5.582682998362474,1.3363294679959212,2111.820008687205,26.916666666666668,0.6049707684052383,11906.93811188814,11.90693811188814,3425.7746829536586,767.0,11348.853729603754,11.348853729603753,2323,729.0,11811.571017871043,11.811571017871044,2373,727.0,11906.93811188814,11.90693811188814,2427,738.0,11595.740792540819,11.595740792540818,2487,793.0,10695.816394716418,10.695816394716418,2563,5,1.008074039759216,1.4241469807721057,18.986998221036952,3348.254061665537,12497226.043414947
blue-211,rec_20260211_150829.npz,14,5.217,1000,450,chl_a,13566.754508275088,1850216.722999227,1850.216722999227,1876899.777622382,1876.8997776223819,7374080.069425035,7374.080069425036,2465557.9382284437,2465.5579382284436,1.014421583315873,3.9855223324711653,1.3325779124035482,2077.3372176402595,29.25,0.22825111235371764,11169.258391608417,11.169258391608416,3718.956827926285,836.0,10686.440054390077,10.686440054390077,2374,823.0,10937.476107226132,10.937476107226132,2428,816.0,11169.258391608417,11.169258391608416,2480,818.0,11103.50341880344,11.10350341880344,2534,836.0,10723.030652680678,10.723030652680679,2587,5,1.00592200230187,1.3111149587323114,13.291821499906352,3121.1757317249558,13566754.508275088
blue-211,rec_20260211_150937.npz,15,4.956,1000,450,chl_a,12893.889178205158,1760325.6616938657,1760.3256616938656,1796538.0242424284,1796.5380242424283,6978630.14390056,6978.63014390056,2358395.348368304,2358.395348368304,1.0205713995634862,3.96439721113047,1.339749456415325,2075.12975007309,30.383333333333333,0.10869938801677126,10398.108158508181,10.398108158508181,3534.50909490273,850.0,9847.314219114241,9.847314219114242,2365,844.0,10065.864102564126,10.065864102564126,2417,837.0,10398.108158508181,10.398108158508181,2480,837.0,10353.299145299168,10.353299145299168,2548,845.0,10024.688888888912,10.024688888888912,2624,5,1.0043279936743021,1.273037564069648,13.53965702771488,2937.6780965543717,12893889.178205159
blue-211,rec_20260211_151108.npz,16,4.709,1000,450,chl_a,9565.724815617736,1341467.341181044,1341.467341181044,1379220.921911425,1379.220921911425,5111851.6942502055,5111.851694250206,1733184.8582750622,1733.1848582750622,1.0281434959848834,3.8106419271822674,1.292006748929978,2060.1746725868456,31.9,-0.004792633202904462,7449.785470085486,7.4497854700854855,2622.183337614511,876.0,7182.077855477872,7.182077855477872,2415,843.0,7374.053224553241,7.374053224553242,2471,840.0,7449.785470085486,7.4497854700854855,2534,849.0,7274.5982128982305,7.274598212898231,2598,879.0,7073.937062937081,7.07393706293708,2648,5,1.0102700974926626,1.217848794880077,12.25619941213817,2083.490831791179,9565724.815617736
blue-211,rec_20260211_151241.npz,17,4.473,1000,450,chl_a,11953.200201864829,1532205.0344211375,1532.2050344211375,1794546.7706293748,1794.5467706293748,6754321.165656581,6754.321165656581,1872127.2311577355,1872.1272311577354,1.1712184272435504,4.408235852199992,1.2218516380642357,2057.634356305305,33.45,0.003722831577488428,9548.167832167852,9.548167832167852,3276.644792177859,897.0,9330.409324009344,9.330409324009345,2372,891.0,9493.119347319367,9.493119347319366,2426,888.0,9548.167832167852,9.548167832167852,2479,896.0,9381.496192696215,9.381496192696215,2532,913.0,9039.164879564902,9.039164879564902,2590,5,1.0057987772864174,1.2177598495653668,13.588517037983785,2714.3947230438257,11953200.20186483
blue-211,rec_20260211_151350.npz,18,4.249,1000,450,chl_a,12627.303939044317,1619464.4572649607,1619.4644572649609,1924845.9750582795,1924.8459750582795,7110342.389122006,7110.342389122005,1972651.1175990717,1972.6511175990718,1.1885694474018056,4.390551677268878,1.2180885531323062,2052.7262096906948,34.6,-0.16532343003140326,9698.036130536153,9.698036130536153,3461.4320008345167,912.0,9532.198523698547,9.532198523698547,2372,907.0,9598.21724941727,9.59821724941727,2424,902.0,9698.036130536153,9.698036130536153,2478,907.0,9608.032245532266,9.608032245532266,2530,945.0,9337.987878787902,9.337987878787903,2589,5,1.0093675669173299,1.1636941610447653,12.484353261900845,2832.6463969135275,12627303.939044317
blue-211,rec_20260211_151527.npz,19,4.037,1000,450,chl_a,14360.322306060638,2326910.2185703237,2326.9102185703237,2734293.3853923916,2734.2933853923914,7048366.069463884,7048.366069463885,2250752.632634037,2250.752632634037,1.1750747250886062,3.0290666194222435,0.9672709392358599,1953.9096373119482,36.21666666666667,-0.26831673635429,9258.3878787879,9.2583878787879,3936.4918602139905,1042.0,8777.054856254876,8.777054856254876,2229,994.0,9112.393006993028,9.11239300699303,2288,978.0,9258.3878787879,9.2583878787879,2352,999.0,9079.64226884229,9.07964226884229,2432,1006.0,8968.608080808099,8.9686080808081,2503,5,1.0160215732226248,1.0794225779630433,11.801133142329055,2442.1862370319204,14360322.306060638
blue-211,rec_20260211_151702.npz,20,3.835,1000,450,chl_a,9205.269971212141,1136258.901437454,1136.258901437454,1372652.0972028004,1372.6520972028004,5339059.523853935,5339.059523853935,1357299.4487179518,1357.2994487179517,1.2080451871191427,4.6988054545488,1.194533611134632,2058.852494515887,37.8,0.16194952024561493,7647.553535353553,7.647553535353554,2523.3744438629774,909.0,6775.776923076937,6.775776923076937,2229,868.0,7332.167832167849,7.332167832167849,2289,847.0,7639.071173271191,7.639071173271191,2376,846.0,7647.553535353553,7.647553535353554,2479,870.0,7193.913519813536,7.193913519813536,2536,5,1.0011103918120363,1.283914430600676,17.112245341074043,2138.3355861516848,9205269.971212141
